locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS01305,0.0615309878211734,,IS66 family transposase,"Replication, recombination and repair",2653,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01305
EQU24_RS18775,0.0575033332990543,leuD,3-isopropylmalate dehydratase small subunit,Amino acid transport and metabolism,457,"leucine biosynthetic process
3-isopropylmalate dehydratase activity
3-isopropylmalate dehydratase complex
isomerase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18775
EQU24_RS20900,0.0557911273324964,,hypothetical protein,No COG annotation,167,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20900
EQU24_RS07825,0.0555065850389946,,hypothetical protein,No COG annotation,1847,ornithine cyclodeaminase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07825
EQU24_RS12130,0.0542889364874021,,hypothetical protein,Function unknown,1307,"maintenance of CRISPR repeat elements
endonuclease activity
nucleic acid phosphodiester bond hydrolysis
defense response to virus
metal ion binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12130
EQU24_RS15035,0.0522480358570557,,carboxylesterase,Function unknown,930,methyl indole-3-acetate esterase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15035
EQU24_RS15960,0.0504606760074856,fliM,flagellar motor switch protein FliM,Cell motility,808,"bacterial-type flagellum-dependent cell motility
chemotaxis
plasma membrane
bacterial-type flagellum basal body
cytoskeletal motor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15960
EQU24_RS06390,0.0503435768913146,,IS66 family transposase,"Replication, recombination and repair",2023,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06390
EQU24_RS07070,0.0490420944771765,msrB,peptide-methionine (R)-S-oxide reductase MsrB,Energy production and conversion,1933,"zinc ion binding
iron ion binding
protein repair
transition metal ion binding
peptide-methionine (R)-S-oxide reductase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07070
EQU24_RS03540,0.0488039596282108,,6-carboxytetrahydropterin synthase,Coenzyme transport and metabolism,2364,6-pyruvoyltetrahydropterin synthase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03540
EQU24_RS02970,0.0484870880133449,pqqA,pyrroloquinoline quinone precursor peptide PqqA,No COG annotation,2429,pyrroloquinoline quinone biosynthetic process,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02970
EQU24_RS10605,0.0462437429050982,,anti-sigma regulatory factor,Signal transduction mechanisms,1493,"phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10605
EQU24_RS19745,0.0460669147831754,ftsL,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",330,"integral component of plasma membrane
intrinsic component of plasma membrane
integral component of membrane
cytokinesis
plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19745
EQU24_RS10965,0.0460028660399111,,phage tail protein,Function unknown,1458,"acyltransferase activity
structural molecule activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10965
EQU24_RS00990,0.0457735735880305,aqpZ,aquaporin Z,Carbohydrate transport and metabolism,2695,"water homeostasis
water transport
regulation of cell size
water channel activity
channel activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00990
EQU24_RS16030,0.0447219628349788,,hypothetical protein,"Post-translational modification, protein turnover, and chaperones",800,"aspartic-type endopeptidase activity
proteolysis
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16030
EQU24_RS20895,0.0445498627510235,,DUF2335 domain-containing protein,No COG annotation,167,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20895
EQU24_RS08255,0.0443121156934104,coxB,cytochrome c oxidase subunit II,Energy production and conversion,1788,"purine ribonucleoside triphosphate metabolic process
purine ribonucleoside monophosphate metabolic process
ribonucleoside monophosphate metabolic process
ribonucleoside triphosphate metabolic process
purine ribonucleotide metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08255
EQU24_RS03170,0.043867509019528,kdsC,3-deoxy-manno-octulosonate-8-phosphatase KdsC,Function unknown,2407,"N-acylneuraminate cytidylyltransferase activity
3-deoxy-manno-octulosonate-8-phosphatase activity
phosphatase activity
cytidylyltransferase activity
cellular polysaccharide biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03170
EQU24_RS12035,0.0437027216189807,,bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase,Coenzyme transport and metabolism,1318,"precorrin-6Y C5,15-methyltransferase (decarboxylating) activity
cobalamin biosynthetic process
protein methylation
cell wall
protein methyltransferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12035
EQU24_RS09255,0.0434557613975677,,histidine triad nucleotide-binding protein,Nucleotide transport and metabolism,1661,"D-alanine family amino acid metabolic process
D-alanine metabolic process
pyruvate family amino acid catabolic process
D-alanine catabolic process
alanine metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09255
EQU24_RS03350,0.0433993374215771,,type II secretion system F family protein,"Intracellular trafficking, secretion, and vesicular transport",2387,"pilus assembly
protein secretion by the type II secretion system
cell projection assembly
amide transport
peptide secretion",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03350
EQU24_RS09250,0.0431745631643348,recR,recombination protein RecR,"Replication, recombination and repair",1661,"DNA synthesis involved in DNA repair
double-strand break repair
DNA repair
DNA recombination
DNA biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09250
EQU24_RS17900,0.0430643309713953,speE,polyamine aminopropyltransferase,Coenzyme transport and metabolism,570,"spermidine biosynthetic process
polyamine biosynthetic process
spermidine metabolic process
cellular biogenic amine biosynthetic process
polyamine metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17900
EQU24_RS01790,0.0422257636353152,,heme-binding protein,Function unknown,2586,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01790
EQU24_RS17025,0.0416620466672807,mltB,lytic murein transglycosylase B,Cell wall/membrane/envelope biogenesis,674,"peptidoglycan catabolic process
peptidoglycan metabolic process
glycosaminoglycan catabolic process
sodium ion binding
alkali metal ion binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17025
EQU24_RS06180,0.0405406903611861,,zinc-dependent alcohol dehydrogenase family protein,Energy production and conversion,2055,"zinc ion binding
alcohol dehydrogenase (NAD+) activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06180
EQU24_RS09135,0.0404110722329263,,GHMP kinase,Function unknown,1676,"ATP binding
phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09135
EQU24_RS14430,0.0401968900941346,,heme lyase CcmF/NrfE family subunit,"Post-translational modification, protein turnover, and chaperones",1020,"cytochrome c-heme linkage via heme-L-cysteine
cytochrome c-heme linkage
peptidyl-cysteine modification
protein-heme linkage
cytochrome complex assembly",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14430
EQU24_RS03875,0.0399193627725849,rplC,50S ribosomal protein L3,"Translation, ribosomal structure and biogenesis",2330,"ribosomal large subunit assembly
ribosome assembly
positive regulation of rRNA processing
regulation of rRNA processing
positive regulation of ribosome biogenesis",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03875
EQU24_RS12030,0.0394870626448118,,cobalt-precorrin-5B (C(1))-methyltransferase,Coenzyme transport and metabolism,1318,"cobalamin biosynthetic process
corrin biosynthetic process
methyltransferase activity
methylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12030
EQU24_RS05625,0.0394799176288227,,sel1 repeat family protein,Function unknown,2124,protein binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05625
EQU24_RS17700,0.0391791146763567,,IS66 family transposase,"Replication, recombination and repair",589,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17700
EQU24_RS01750,0.0391178608098304,,RtcB family protein,Function unknown,2593,"RNA processing
RNA ligase activity
metal ion binding
cell wall
cell periphery",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01750
EQU24_RS10960,0.039041150573806,,hypothetical protein,No COG annotation,1458,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10960
EQU24_RS08620,0.0387716420965914,,tryptophan--tRNA ligase,"Translation, ribosomal structure and biogenesis",1742,"tRNA metabolic process
tryptophanyl-tRNA aminoacylation
tRNA aminoacylation for protein translation
ncRNA metabolic process
tRNA aminoacylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08620
EQU24_RS17660,0.0387553105699197,fliS,flagellar export chaperone FliS,Cell motility,596,"bacterial-type flagellum assembly
bacterial-type flagellum-dependent cell motility
archaeal or bacterial-type flagellum-dependent cell motility
cilium or flagellum-dependent cell motility
localization of cell",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17660
EQU24_RS14335,0.0386951626320812,,hypothetical protein,Function unknown,1027,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14335
EQU24_RS01955,0.038594230522596,,MotA/TolQ/ExbB proton channel family protein,"Intracellular trafficking, secretion, and vesicular transport",2559,"protein transport
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01955
EQU24_RS17740,0.0384597888310472,,glycosyltransferase,Cell wall/membrane/envelope biogenesis,587,transferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17740
EQU24_RS20345,0.0380869609859607,,hydrogenase maturation protease,Energy production and conversion,247,"positive regulation of catalytic activity
proteolysis
peptidase activity
enzyme activator activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20345
EQU24_RS13365,0.0378456179566248,,YeeE/YedE family protein,Function unknown,1154,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13365
EQU24_RS14655,0.0376711360882124,,hypothetical protein,No COG annotation,982,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14655
EQU24_RS20990,0.0373863422553103,,Rsd/AlgQ family anti-sigma factor,Transcription,153,"regulation of nucleic acid-templated transcription
regulation of RNA biosynthetic process
regulation of transcription, DNA-templated
regulation of macromolecule biosynthetic process
regulation of RNA metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20990
EQU24_RS15925,0.0370731849328125,flhA,flagellar biosynthesis protein FlhA,Cell motility,810,"bacterial-type flagellum assembly
protein secretion
plasma membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15925
EQU24_RS01720,0.036857748286433,,hexose kinase,Carbohydrate transport and metabolism,2597,"fructose catabolic process
1-phosphofructokinase activity
phosphorylation
fructose metabolic process
carbohydrate kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01720
EQU24_RS01110,0.0361364004754527,,hypothetical protein,Cell motility,2676,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01110
EQU24_RS22130,0.0361030855242916,,,No COG annotation,2,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS22130
EQU24_RS18780,0.0359199179424443,leuC,3-isopropylmalate dehydratase large subunit,Coenzyme transport and metabolism,457,"leucine biosynthetic process
3-isopropylmalate dehydratase activity
4 iron, 4 sulfur cluster binding
metal ion binding
isomerase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18780
EQU24_RS19560,0.0357333932319499,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,Amino acid transport and metabolism,350,"acetyl-CoA:L-glutamate N-acetyltransferase activity
arginine biosynthetic process
glutamate N-acetyltransferase activity
arginine metabolic process
N-acetyltransferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19560
EQU24_RS15160,0.0357036553690006,,efflux transporter outer membrane subunit,Cell wall/membrane/envelope biogenesis,915,"amide transport
nitrogen compound transport
sulfathiazole transmembrane transporter activity
sulfathiazole transmembrane transport
organic substance transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15160
EQU24_RS07125,0.035641992620675,,hypothetical protein,No COG annotation,1927,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07125
EQU24_RS02920,0.0354982761301706,,hypothetical protein,Cell wall/membrane/envelope biogenesis,2435,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02920
EQU24_RS17510,0.0350926317125223,,,No COG annotation,612,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17510
EQU24_RS11930,0.034910402623636,,DUF4351 domain-containing protein,Function unknown,1327,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11930
EQU24_RS09120,0.0347263240689102,,RimK family alpha-L-glutamate ligase,Coenzyme transport and metabolism,1677,"ATP binding
cellular protein modification process
metal ion binding
ligase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09120
EQU24_RS05745,0.0344700114842337,,hypothetical protein,No COG annotation,2109,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05745
EQU24_RS02550,0.0344312801348587,,hypothetical protein,No COG annotation,2480,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02550
EQU24_RS03145,0.034182880447546,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,"Secondary metabolites biosynthesis, transport, and catabolism",2408,"phospholipid transport
integral component of plasma membrane
cell envelope
phospholipid binding
intrinsic component of plasma membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03145
EQU24_RS19310,0.0340055749054321,pmoA,methane monooxygenase/ammonia monooxygenase subunit A,Energy production and conversion,383,"methane monooxygenase activity
methane monooxygenase complex
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
methane metabolic process
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19310
EQU24_RS14630,0.0339720674343171,,OmpA family protein,Cell wall/membrane/envelope biogenesis,987,"calcium ion binding
cell outer membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14630
EQU24_RS14635,0.0339442608384798,,hypothetical protein,Function unknown,986,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14635
EQU24_RS13925,0.0338489026464787,,protein-L-isoaspartate(D-aspartate) O-methyltransferase,"Post-translational modification, protein turnover, and chaperones",1084,"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
protein repair
protein methylation
cytoplasm",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13925
EQU24_RS20330,0.0336537144597882,,WYL domain-containing protein,Transcription,250,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20330
EQU24_RS02215,0.0336191770080771,,ParA family protein,"Cell cycle control, cell division, chromosome partitioning",2525,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02215
EQU24_RS01020,0.0332896225948137,,DUF4325 domain-containing protein,Signal transduction mechanisms,2689,"phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01020
EQU24_RS10615,0.0331717226622418,,STAS domain-containing protein,Signal transduction mechanisms,1493,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10615
EQU24_RS03870,0.0325707478709321,rpsJ,30S ribosomal protein S10,"Translation, ribosomal structure and biogenesis",2330,"regulation of nucleic acid-templated transcription
transcription antitermination
regulation of DNA-templated transcription, termination
regulation of cellular macromolecule biosynthetic process
cytosolic ribosome",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03870
EQU24_RS01730,0.0322683914841735,,RES domain-containing protein,Function unknown,2596,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01730
EQU24_RS17465,0.0320946428559547,,hypothetical protein,No COG annotation,621,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17465
EQU24_RS12655,0.0319133925305562,,barstar family protein,Transcription,1242,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12655
EQU24_RS13480,0.0316372648278543,,response regulator transcription factor,Transcription,1143,"positive regulation of nucleic acid-templated transcription
negative regulation of nucleic acid-templated transcription
negative regulation of RNA biosynthetic process
regulation of nucleic acid-templated transcription
positive regulation of transcription, DNA-templated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13480
EQU24_RS20365,0.0315665545149451,,heme-binding protein,Function unknown,245,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20365
EQU24_RS03480,0.0314877280935283,glk,glucokinase,Nucleotide transport and metabolism,2371,"glucokinase activity
ATP binding
glycolytic process
glucose binding
glucose 6-phosphate metabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03480
EQU24_RS00190,0.0313707957359755,,hypothetical protein,No COG annotation,2805,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00190
EQU24_RS11970,0.0313330901453257,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",1322,"hydrolase activity, acting on ester bonds
phosphopantetheine binding
biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11970
EQU24_RS16905,0.03125847084447,,formylmethanofuran dehydrogenase subunit A,Energy production and conversion,690,"one-carbon metabolic process
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
small molecule metabolic process
cellular metabolic process
hydrolase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16905
EQU24_RS12055,0.0312080711604324,cobJ,precorrin-3B C(17)-methyltransferase,Coenzyme transport and metabolism,1318,"precorrin-3B C17-methyltransferase activity
cobalamin biosynthetic process
methylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12055
EQU24_RS19210,0.0312058745576386,,hypothetical protein,No COG annotation,397,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS19210
EQU24_RS06205,0.0311422859655673,,hypothetical protein,No COG annotation,2050,"phosphorelay signal transduction system
integral component of membrane
signal transduction
phosphorelay sensor kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06205
EQU24_RS07530,0.031019219647508,,hypothetical protein,No COG annotation,1880,"regulation of transcription, DNA-templated
isomerase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07530
EQU24_RS03175,0.0308215080650347,lptC,LPS export ABC transporter periplasmic protein LptC,Function unknown,2407,"glycolipid transport
lipopolysaccharide transport
carbohydrate derivative transport
lipid transport
organic substance transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03175
EQU24_RS13010,0.0307767463270388,,"L,D-transpeptidase family protein",Function unknown,1202,transferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13010
EQU24_RS20270,0.030713105493897,,type II toxin-antitoxin system Phd/YefM family antitoxin,"Cell cycle control, cell division, chromosome partitioning",257,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20270
EQU24_RS07600,0.0306870122945365,,hypothetical protein,Function unknown,1871,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07600
EQU24_RS17375,0.0306742436232219,,BrnT family toxin,Function unknown,631,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17375
EQU24_RS05370,0.0306444428391835,bluB,"5,6-dimethylbenzimidazole synthase",Energy production and conversion,2160,"5,6-dimethylbenzimidazole synthase activity
cob(II)yrinic acid a,c-diamide reductase activity
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05370
EQU24_RS13885,0.0305259170612594,,(2Fe-2S)-binding protein,Inorganic ion transport and metabolism,1090,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13885
EQU24_RS16575,0.0304046368034103,,,No COG annotation,724,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16575
EQU24_RS17560,0.0301878327891821,,MoaD/ThiS family protein,Coenzyme transport and metabolism,606,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17560
EQU24_RS08585,0.0299469683247,,efflux RND transporter periplasmic adaptor subunit,No COG annotation,1745,"integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08585
EQU24_RS18830,0.0298178979557391,,hypothetical protein,No COG annotation,449,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18830
EQU24_RS07965,0.0296535322628719,,,No COG annotation,1830,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07965
EQU24_RS18250,0.0296480760568876,,TetR/AcrR family transcriptional regulator,Transcription,524,DNA binding,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS18250
EQU24_RS10500,0.0296091816488923,,hypothetical protein,Amino acid transport and metabolism,1505,"glutathione hydrolase activity
self proteolysis
gamma-glutamyl-peptidase activity
carboxylic acid biosynthetic process
glutathione catabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10500
EQU24_RS10110,0.0295340348577238,hypD,hydrogenase formation protein HypD,"Post-translational modification, protein turnover, and chaperones",1548,"iron ion binding
cellular protein modification process
transition metal ion binding
metal ion binding
protein maturation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10110
EQU24_RS17090,0.0294308999098338,,hypothetical protein,No COG annotation,664,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17090
EQU24_RS01140,0.0293030706152935,,metal-dependent hydrolase,Function unknown,2673,"SOS response
cellular response to DNA damage stimulus
cellular response to external stimulus
integral component of membrane
response to extracellular stimulus",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01140
EQU24_RS13500,0.0291959379468245,,hypothetical protein,Signal transduction mechanisms,1139,"isomerase activity
rhythmic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13500
EQU24_RS01145,0.0291805894850149,,3'-5' exonuclease,"Replication, recombination and repair",2672,"exonuclease activity
nucleic acid phosphodiester bond hydrolysis
nucleic acid binding",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01145
EQU24_RS08840,0.029011944041718,,transposase,No COG annotation,1711,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08840
EQU24_RS11695,-0.0293466161570563,,hypothetical protein,No COG annotation,1356,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11695
EQU24_RS06855,-0.0293648833947994,,nucleotidyltransferase domain-containing protein,Function unknown,1962,transferase activity,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06855
EQU24_RS16380,-0.0295432914336857,,hypothetical protein,No COG annotation,753,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16380
EQU24_RS01155,-0.0296313602652366,,hypothetical protein,No COG annotation,2670,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01155
EQU24_RS05350,-0.029770294750961,,DUF29 domain-containing protein,Signal transduction mechanisms,2162,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05350
EQU24_RS06140,-0.0298466284574384,,chemotaxis protein MotA,Cell motility,2060,"protein transport
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06140
EQU24_RS17995,-0.0299980758076602,,hypothetical protein,Function unknown,560,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17995
EQU24_RS07995,-0.0300732251463474,,IS3 family transposase,"Replication, recombination and repair",1825,"DNA integration
sequence-specific DNA binding
transposition",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07995
EQU24_RS17990,-0.0301047446260953,,hypothetical protein,No COG annotation,560,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS17990
EQU24_RS09725,-0.0301599628740951,,hypothetical protein,No COG annotation,1594,"plasma membrane
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09725
EQU24_RS11700,-0.0302724051233192,,Txe/YoeB family addiction module toxin,Function unknown,1355,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis
RNA catabolic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11700
EQU24_RS02995,-0.0303170924506696,,hypothetical protein,No COG annotation,2424,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02995
EQU24_RS14500,-0.0303444614706432,,hypothetical protein,No COG annotation,1010,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14500
EQU24_RS02670,-0.0304652667211171,,winged helix-turn-helix transcriptional regulator,Transcription,2464,"regulation of transcription, DNA-templated
DNA-binding transcription factor activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02670
